公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
四川雅化实业集团股份有限公司,四川,雅安市,8.57亿,8269.10万,4025,2010-11-09,民爆用品,民爆生产、工程爆破、锂行业、民爆销售、运输、其他
青岛汉缆股份有限公司,山东,青岛市,11.58亿,1.14亿,2810,2010-11-09,电线电缆,电力电缆、裸电线、电气装备用电线电缆、通信电缆和光缆、特种电缆、原材料、下脚料
科林环保装备股份有限公司,江苏,苏州市,826.72万,-1321.17万,30,2010-11-09,环保设备,光伏电站EPC承包、电站运营维护及其他
山西证券股份有限公司,山西,太原市,5.21亿,1.26亿,2637,2010-11-15,证券,证券经纪业务、证券自营业务、证券资产管理业务、证券投资咨询、证券投资顾问、证券信用业务、中小企业金融服务
吉林利源精制股份有限公司,吉林,辽源市,4755.96万,-6069.59万,793,2010-11-17,铝,铝型材产品、铝型材深加工
鼎龙文化股份有限公司,广东,汕头市,1.15亿,-395.53万,326,2010-11-17,影视,游戏研发和运营、影视剧制作、工业金属、钛铁精矿
搜于特集团股份有限公司,广东,东莞市,13.09亿,-2.93亿,1493,2010-11-17,休闲服装,批发零售
北京弘高创意建筑设计股份有限公司,北京,北京市,4847.37万,-962.04万,142,2010-11-18,装修装饰,产品销售、设计业务、装饰装修
鹏都农牧股份有限公司,湖南,怀化市,40.61亿,9065.47万,2822,2010-11-18,畜牧养殖,农资与粮食贸易、肉牛业务、肉羊产业、乳业
协鑫集成科技股份有限公司,上海,上海市,10.72亿,-8432.52万,1317,2010-11-18,太阳能,太阳能行业
重庆市涪陵榨菜集团股份有限公司,重庆,重庆市,7.09亿,2.03亿,2846,2010-11-23,其他食品,榨菜、萝卜、泡菜、下饭菜
杭州老板电器股份有限公司,浙江,杭州市,19.08亿,3.63亿,4612,2010-11-23,小家电,吸油烟机、燃气灶、消毒柜、蒸箱、烤箱、洗碗机、净水器、集成灶、微波炉
天津汽车模具股份有限公司,天津,天津市,2.64亿,-968.26万,2863,2010-11-25,其他通用机械,主要产品包括汽车车身覆盖件模具、汽车车身冲压件、检具及装焊夹具
中顺洁柔纸业股份有限公司,广东,中山市,21.02亿,2.71亿,6618,2010-11-25,造纸,卷纸、无芯卷纸、抽纸、纸手帕、湿巾、个人护理产品、婴儿纸尿裤、棉花柔巾
福州达华智能科技股份有限公司,广东,中山市,7.52亿,-9657.76万,2468,2010-12-03,电子元件,电视机主板、物联网RFID电子标签、信息集成和通讯、信息终端
江苏蓝丰生物化工股份有限公司,江苏,徐州市,3.34亿,123.51万,1517,2010-12-03,农药,农化、医药
苏州宝馨科技实业股份有限公司,江苏,苏州市,1.87亿,516.77万,1524,2010-12-03,金属制品,设备配件、监测设备、湿化学设备、锅炉配套设备、水处理设备、灵活性调峰技术服务
金字火腿股份有限公司,浙江,金华市,2.50亿,6005.14万,453,2010-12-03,肉制品,金字火腿、巴玛火腿、特色肉制品、定制品牌肉、植物肉
旷达科技集团股份有限公司,江苏,常州市,3.92亿,4618.83万,2044,2010-12-07,家纺,汽车用纺织品、电力
恺英网络股份有限公司,福建,泉州市,4.48亿,2.01亿,1191,2010-12-07,游戏,其他应用产品分发、游戏分发、移动网络游戏、网页网络游戏
深圳科士达科技股份有限公司,广东,深圳市,4.73亿,8597.26万,2897,2010-12-07,储能设备,数据中心关键基础设施产品、新能源光伏及储能系统产品、电动汽车充电桩产品
江苏银河电子股份有限公司,江苏,苏州市,4.55亿,5423.48万,2455,2010-12-07,机顶盒,数字电视智能终端、智能机电产品类、新能源汽车关键零部件
浙江日发精密机械股份有限公司,浙江,绍兴市,4.73亿,4721.68万,1237,2010-12-10,机床设备,数字化智能机床及产线、航空航天智能装备及产线、航空航天零部件加工、固定翼工程运营及租售、直升机工程运营及租售
齐峰新材料股份有限公司,山东,淄博市,8.82亿,9031.32万,1319,2010-12-10,造纸,造纸业
浙江众成包装材料股份有限公司,浙江,嘉兴市,3.80亿,3146.65万,928,2010-12-10,塑料制品,POF热收缩膜、热塑性弹性体
株洲天桥起重机股份有限公司,湖南,株洲市,1.98亿,532.85万,1560,2010-12-10,起重运输设备,物料搬运装备、选煤机械装备、立体停车装备
光正眼科医院集团股份有限公司,新疆,乌鲁木齐市,1.92亿,4002.24万,1671,2010-12-17,钢结构,医疗、能源、钢结构
山东矿机集团股份有限公司,山东,潍坊市,4.61亿,3194.61万,2140,2010-12-17,矿山冶金机械,机械、煤炭销售及采煤服务、IT行业
上海新时达电气股份有限公司,上海,上海市,8.95亿,3217.73万,2512,2010-12-24,工业机器人,电梯控制类产品、节能与工业传动类产品、机器人与运动控制类产品
深圳英飞拓科技股份有限公司,广东,深圳市,7.69亿,-6754.36万,1543,2010-12-24,电子零部件,智慧城市顶层管理平台软件、智慧园区解决方案、智慧工地解决方案、智慧医疗解决方案、智慧教育解决方案、智慧安防、智能家居、数字运营服务、XaaS为基础的RMR业务、
福建海源复合材料科技股份有限公司,福建,福州市,6463.31万,-303.64万,549,2010-12-24,其他专用机械,机械装备、复合材料制品、光伏业务
金财互联控股股份有限公司,江苏,盐城市,2.65亿,-2847.80万,4152,2010-12-31,其他互联网应用,热处理、企业云服务、电子税务
天顺风能(苏州)股份有限公司,江苏,苏州市,13.94亿,5.03亿,2483,2010-12-31,风能,风电设备、风力发电
天山铝业集团股份有限公司,浙江,台州市,68.17亿,8.19亿,6463,2010-12-31,其他通用机械,电解铝产品、高纯铝产品、铝深加工产品、阳极碳素产品
金杯电工股份有限公司,湖南,长沙市,23.57亿,6855.15万,3882,2010-12-31,电线电缆,电线电缆、新能源汽车后市场服务、冷链物流运营
杭州锅炉集团股份有限公司,浙江,杭州市,9.84亿,8809.95万,2107,2011-01-10,锅炉,余热锅炉、清洁环保能源装备、解决方案、备件及服务
林州重机集团股份有限公司,河南,安阳市,1.18亿,-2663.20万,1075,2011-01-11,矿山冶金机械,煤矿机械及综合服务、生铁、军工产品系列
飞龙汽车部件股份有限公司,河南,南阳市,9.07亿,7346.74万,4281,2011-01-11,汽车零部件,传统发动机冷却部件、新能源冷却部件及模块、发动机节能降排部件、非发动机其他部件
海联金汇科技股份有限公司,山东,青岛市,16.93亿,1572.99万,3648,2011-01-10,汽车零部件,金融科技、智能制造
安徽省司尔特肥业股份有限公司,安徽,宣城市,7.69亿,9064.06万,2998,2011-01-18,复合肥,采矿、化学肥料
成都云图控股股份有限公司,四川,成都市,29.50亿,1.85亿,10140,2011-01-18,复合肥,复合肥、纯碱、氯化铵、磷酸一铵、黄磷、食用盐、工业盐
江苏亚太轻合金科技股份有限公司,江苏,无锡市,13.21亿,9017.61万,2884,2011-01-18,铝,管材类、型材类、棒材类、铸棒类、其他铝制品
安徽鸿路钢结构(集团)股份有限公司,安徽,合肥市,32.88亿,1.82亿,15190,2011-01-18,钢结构,钢结构件、围护产品
中化岩土集团股份有限公司,北京,北京市,10.61亿,4145.70万,2096,2011-01-28,专业工程,工程服务、通用航空
广东万和新电气股份有限公司,广东,佛山市,21.14亿,1.54亿,4905,2011-01-28,小家电,生活热水、厨房电器、其他、综合服务
广州杰赛科技股份有限公司,广东,广州市,11.42亿,2021.75万,6373,2011-01-28,通信配套服务,通信
青岛东方铁塔股份有限公司,山东,青岛市,4.98亿,4701.41万,1648,2011-02-11,钢结构,钢结构、角钢塔、钢管塔、建筑安装、氯化钾、发电
南京新联电子股份有限公司,江苏,南京市,6803.19万,2291.19万,927,2011-02-11,用电信息采集系统、机柜制造,用电信息采集系统、智能用电云服务、电力柜
苏州春兴精工股份有限公司,江苏,苏州市,6.21亿,-6948.51万,4783,2011-02-18,电子零部件,精密铝合金结构件、移动通信射频器件、无线终端业务、电子元器件分销业务、玻璃业务
深圳市金新农科技股份有限公司,广东,深圳市,12.58亿,4730.65万,3154,2011-02-18,饲料,猪饲料、商品猪、仔猪、种猪、水产养殖制品、兽药、电信增值服务业务的V币、V付宝、电话钱包、数字商品、支付解决方案
湖南凯美特气体股份有限公司,湖南,岳阳市,1.28亿,1599.37万,597,2011-02-18,其他化学制品,液体二氧化碳、干冰、氧、氮气、氩气、氢气、液化气、戊烷、燃料气加工
常州千红生化制药股份有限公司,江苏,常州市,3.91亿,5446.09万,1336,2011-02-18,化学原料药,活性酶类、多糖类
深圳市尚荣医疗股份有限公司,广东,深圳市,5.50亿,7940.90万,1978,2011-02-25,医疗器械,医疗服务、医疗产品、健康产业运营
宝鼎科技股份有限公司,浙江,杭州市,7363.80万,247.15万,460,2011-02-25,基础件,大型铸锻件
江苏南方轴承股份有限公司,江苏,常州市,1.31亿,2182.43万,897,2011-02-25,汽车零部件,轴承、离合器、皮带轮
华油惠博普科技股份有限公司,北京,北京市,2.47亿,783.41万,1204,2011-02-25,油田服务,油气工程及服务、环境工程及服务、油气资源开发及利用
芜湖三七互娱网络科技集团股份有限公司,安徽,芜湖市,38.18亿,1.13亿,4062,2011-03-02,游戏,网络游戏
安徽辉隆农资集团股份有限公司,安徽,合肥市,37.69亿,1.95亿,3005,2011-03-02,农资经营,农资产品、化工产品、农副产品
