公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
福建榕基软件股份有限公司,福建,福州市,1.52亿,1339.53万,960,2010-09-15,其他软件服务,系统集成、软件产品及服务、园区开发与运营
立讯精密工业股份有限公司,广东,深圳市,210.19亿,13.61亿,172410,2010-09-15,电子零部件,电脑互联产品及精密组件、汽车互联产品及精密组件、通讯互联产品及精密组件、消费性电子
山东宝莫生物化工股份有限公司,山东,东营市,1.03亿,20.34万,469,2010-09-15,其他化学制品,油田用化学品、非油田用化学品、环保水处理
江苏常宝钢管股份有限公司,江苏,常州市,8.97亿,1542.69万,3343,2010-09-21,特钢,油气开采用管、电站锅炉用管、工程机械和石化用管、其他细分市场特殊用管
浙江富春江环保热电股份有限公司,浙江,杭州市,8.53亿,1.43亿,1942,2010-09-21,电力,清洁电能、清洁热能、煤炭、冷轧钢卷、木浆、有色金属资源综合利用、EPC总包工程、固废处置
成都市新筑路桥机械股份有限公司,四川,成都市,1.47亿,-5799.74万,1669,2010-09-21,基础件,机械制造
烟台双塔食品股份有限公司,山东,烟台市,4.68亿,9958.90万,854,2010-09-21,其他食品,农副食品
深圳广田集团股份有限公司,广东,深圳市,20.94亿,738.15万,4044,2010-09-29,装修装饰,工程金融、智能工程、建筑装饰
江苏润邦重工股份有限公司,江苏,南通市,8.68亿,9983.79万,2633,2010-09-29,起重运输设备,物料搬运业务、海工与船舶业务
南通江海电容器股份有限公司,江苏,南通市,7.48亿,8438.95万,3563,2010-09-29,电子元件,铝电解电容器、铝电解电容器用化成箔、腐蚀箔、薄膜电容器、超级电容器
希努尔男装股份有限公司,山东,潍坊市,2.52亿,-644.84万,342,2010-10-15,男装,服装、旅游
上海嘉麟杰纺织品股份有限公司,上海,上海市,2.11亿,-296.94万,1526,2010-10-15,纺织面料,面料、成衣、防护用品
辽宁大金重工股份有限公司,辽宁,阜新市,6.02亿,7685.04万,977,2010-10-15,金属制品,风力发电设备
浙江金固股份有限公司,浙江,杭州市,4.61亿,6228.99万,1739,2010-10-21,汽车零部件,钢制车轮及组装车轮、汽车后市场业务、分布式光伏发电、高端装备设备
浙江永强集团股份有限公司,浙江,台州市,27.37亿,2.35亿,9832,2010-10-21,家具制造,户外休闲家具、遮阳伞、帐篷
山东墨龙石油机械股份有限公司,山东,潍坊市,5.44亿,-1.18亿,2890,2010-10-21,矿山冶金机械,石油钻采机械装备、石油天然气输送装备、油气开采装备、主要关键部件、铸锻产品
通鼎互联信息股份有限公司,江苏,苏州市,7.69亿,-2588.24万,2896,2010-10-21,通信传输设备,通信线缆、通信设备、软件及信息技术服务
珠海恒基达鑫国际化工仓储股份有限公司,广东,珠海市,1.09亿,4648.83万,548,2010-11-02,物流,仓储、装卸/码头、管理服务
荣盛石化股份有限公司,浙江,杭州市,345.81亿,47.56亿,17544,2010-11-02,涤纶,石化、聚酯化纤
华斯控股股份有限公司,河北,沧州市,6984.56万,-498.23万,1024,2010-11-02,其他服装,服装、裘皮饰品、裘皮皮张、裘皮面料
广东佳隆食品股份有限公司,广东,揭阳市,6314.98万,307.19万,258,2010-11-02,调味品,调味品
江苏辉丰生物农业股份有限公司,江苏,盐城市,4.37亿,-1563.98万,2152,2010-11-09,农药,农药及中间体、油品、大宗化学品及仓储运输
